name,probability_female,frequency
Aamanee,1,2.872568409979697e-08
Aamani,1,4.883366296965485e-07
Aamar,0,1.4362842049898485e-08
Aamari,0.4236453201970443,5.831313872258785e-07
Aamarion,0,2.872568409979697e-08
Aamaya,1,1.4362842049898485e-08
Aamber,1,4.0215957739715756e-08
Aamena,1,2.872568409979697e-08
Aamer,0,1.0053989434928939e-07
Aamia,1,6.319650501955333e-08
Aamil,0,6.319650501955333e-08
Aamilah,1,1.8671694664868028e-07
Aamina,1,8.588979545839293e-07
Aaminah,1,1.0829582905623458e-06
Aamir,0.0032485110990795887,5.3056338532325e-06
Aamira,1,8.90496207093706e-07
Aamirah,1,5.256800190262845e-07
Aamiya,1,1.4937355731894423e-07
Aamiyah,1,1.1001937010222238e-06
Aamna,1,6.118570713256754e-07
Aamoni,1,2.872568409979697e-08
Aamora,1,1.4362842049898485e-08
Aamori,1,2.901294094079494e-07
Aamya,1,3.4758077760754333e-07
Aamyah,1,1.6373639936884272e-07
Aana,1,3.4470820919756364e-08
Aanand,0,1.4362842049898485e-08
Aanav,0,7.755934706945182e-08
Aanay,0,4.596109455967515e-08
Aanaya,1,1.1777530480916757e-07
Aanchal,1,2.0682492551853816e-07
Aania,1,1.5799126254888333e-07
Aaniah,1,9.479475752932999e-08
Aanijah,1,1.4362842049898485e-08
Aanika,1,7.870837443344369e-07
Aanisah,1,1.1203016798920817e-07
Aaniya,1,9.077316175535841e-07
Aaniyah,1,3.363777608086225e-06
Aaniylah,1,3.1598252509776665e-08
Aansh,0,7.181421024949242e-08
Aanshi,1,2.2693290438839603e-07
Aanvi,1,6.405827554254723e-07
Aanya,1,7.322176877038247e-06
Aanyah,1,2.2406033597841634e-07
Aanyla,1,2.0107978869857878e-08
Aapri,1,1.4362842049898485e-08
Aaqib,0,7.755934706945182e-08
Aaqil,0,1.2064787321914727e-07
Aara,1,2.786391357680306e-07
Aarabella,1,4.883366296965485e-08
Aarabhi,1,1.4362842049898485e-08
Aaradhana,1,1.2926557844908635e-07
Aaradhy,0,1.4362842049898485e-08
Aaradhya,1,1.4075585208900514e-06
Aaraf,0,4.596109455967515e-08
Aaraiz,0,1.7235410459878182e-08
Aaralyn,1,3.4614449340255344e-06
Aaralynn,1,7.784660391044978e-07
Aaran,0,6.06111934505716e-07
Aaraon,0,1.4362842049898485e-08
Aaratrika,1,1.4362842049898485e-08
Aarav,0,1.3943447062041448e-05
Aaravi,1,5.457879978961424e-08
Aaravreddy,0,1.7235410459878182e-08
Aaraya,1,1.4362842049898485e-08
Aaren,0.26038781163434904,3.1109915880080116e-06
Aareon,0.23255813953488372,1.2352044162912697e-07
Aareona,1,2.0107978869857878e-08
Aari,0.47368421052631576,5.457879978961424e-08
Aaria,1,9.134767543735436e-07
Aariah,1,7.181421024949242e-07
Aarian,0.33714285714285713,5.026994717464469e-07
Aariana,1,1.1978610269615335e-06
Aarianna,1,5.802588188158988e-07
Aarib,0,1.8958951505865998e-07
Aaric,0,1.373087699970295e-06
Aarica,1,2.7289399894807117e-07
Aarick,0,8.043191547943151e-08
Aarie,1,1.4362842049898485e-08
Aariel,1,5.6876854517598e-07
Aariella,1,1.4362842049898485e-08
Aarielle,1,1.4075585208900515e-07
Aarien,0,2.0107978869857878e-08
Aarik,0,4.596109455967515e-07
Aarika,1,2.2032599704544272e-06
Aariketh,0,1.7235410459878182e-08
Aarilyn,1,3.0736481986782753e-07
Aarilynn,1,2.872568409979697e-08
Aarin,0.3586698337292161,2.418702601202905e-06
Aarini,1,2.7289399894807117e-07
Aarion,0.23026315789473684,1.7465215932676556e-06
Aariona,1,6.980341236250663e-07
Aarionna,1,3.8205159852729965e-07
Aaris,0.5280898876404494,2.55658588488193e-07
Aarish,0,5.055720401564266e-07
Aarit,0,2.901294094079494e-07
Aariv,0,7.325049445448227e-07
Aariya,1,3.447082091975636e-07
Aariyah,1,1.3242540370006401e-06
Aariyan,0,1.4362842049898485e-08
Aariyana,1,2.786391357680306e-07
Aariyanna,1,4.0215957739715756e-08
Aariyona,1,1.4362842049898485e-08
Aariyonna,1,1.4362842049898485e-08
Aariz,0,1.677579951428143e-06
Aarjav,0,9.479475752932999e-08
Aarn,0,4.883366296965485e-08
Aarna,1,3.6625247227241134e-06
Aarnav,0,1.307018626540762e-06
Aarnavi,1,1.2926557844908635e-07
Aarne,0,2.872568409979697e-08
Aaro,0,1.3213814685906604e-07
Aaroh,0,1.4362842049898485e-08
Aarohan,0,4.596109455967515e-08
Aarohi,1,1.4563921838597063e-06
Aarolyn,1,3.1598252509776665e-08
Aaron,0.007405247511598737,0.0016649090521717225
Aarona,1,1.4362842049898485e-08
Aaronae,1,1.4362842049898485e-08
Aaronda,1,1.4362842049898485e-08
Aaronette,1,3.1598252509776665e-08
Aaronisha,1,1.7235410459878182e-08
Aaronjacob,0,1.4362842049898485e-08
Aaronjames,0,2.872568409979697e-07
Aaronjohn,0,6.032393660957364e-08
Aaronjoseph,0,2.0107978869857878e-08
Aaronjosh,0,1.4362842049898485e-08
Aaronjoshua,0,2.872568409979697e-08
Aaronlee,0,1.4362842049898485e-08
Aaronmichael,0,2.1257006233849757e-07
Aaronn,0,6.319650501955333e-08
Aaroosh,0,1.7235410459878182e-08
Aarren,0,1.4362842049898485e-08
Aarron,0,3.5188963022251285e-06
Aarsh,0,1.723541045987818e-07
Aarshi,1,7.468677865947211e-08
Aarshiya,1,1.4362842049898485e-08
Aarthi,1,2.9874711463788845e-07
Aarti,1,1.2553123951611275e-06
Aaruhi,1,3.4470820919756364e-08
Aarush,0,5.891637808868358e-06
Aarushi,1,1.9447288135562546e-06
Aarushreddy,0,2.585311568981727e-08
Aarvi,1,4.0215957739715755e-07
Aarvin,0,1.4362842049898485e-08
Aary,0,1.4362842049898485e-08
Aarya,0.8320526893523601,5.233819642983008e-06
Aaryah,1,1.4937355731894423e-07
Aaryahi,1,7.181421024949242e-08
Aaryan,0.004395604395604396,3.9210558796222865e-06
Aaryana,1,3.2747279873768543e-07
Aaryanna,1,5.77386250405919e-07
Aaryash,0,1.7235410459878182e-08
Aaryav,0,3.590710512474621e-07
Aaryn,0.6217912150598973,5.035612422694409e-06
Aarynn,1,1.4362842049898485e-08
Aaryon,0,4.308852614969545e-08
Aaryona,1,2.872568409979697e-08
Aarza,1,3.4470820919756364e-08
Aaseem,0,1.4362842049898485e-08
Aaser,0,3.4470820919756364e-08
Aasha,1,8.33044838894112e-07
Aashana,1,1.4362842049898485e-08
Aashay,0,8.90496207093706e-08
Aashi,1,1.5942754675387318e-06
Aashia,1,1.7235410459878182e-08
Aashika,1,2.614037253081524e-07
Aashini,1,1.4362842049898485e-08
Aashir,0,3.1598252509776666e-07
Aashirya,1,8.33044838894112e-08
Aashish,0,3.9354187216721847e-07
Aashita,1,1.7235410459878182e-08
Aashiyana,1,3.4470820919756364e-08
Aashka,1,4.366303983169139e-07
Aashman,0,1.4362842049898485e-08
Aashna,1,1.8154632351071683e-06
Aashni,1,1.4937355731894423e-07
Aashray,0,4.0215957739715756e-08
Aashrita,1,1.4937355731894423e-07
Aashrith,0,3.533259144275027e-07
Aashritha,1,3.9641444057719816e-07
Aashriya,1,1.4362842049898485e-08
Aashvi,1,9.048590491436045e-07
Aasia,1,6.463278922454317e-07
Aasim,0,8.90496207093706e-07
Aasin,0,1.4937355731894423e-07
Aasir,0,2.7289399894807117e-07
Aasiya,1,4.912091981065281e-07
Aasiyah,1,1.2926557844908635e-06
Aason,0,1.1777530480916757e-07
Aastha,1,7.468677865947211e-07
Aathan,0,1.4362842049898485e-08
Aatif,0,2.872568409979697e-08
Aatish,0,4.596109455967515e-08
Aava,1,2.9587454622790876e-07
Aavah,1,1.2352044162912697e-07
Aavan,0,2.0107978869857878e-08
Aavash,0,2.872568409979697e-08
Aaven,0,1.2064787321914727e-07
Aavi,0,4.883366296965485e-08
Aavin,0,8.61770522993909e-08
Aavion,0,7.468677865947211e-08
Aavir,0,2.585311568981727e-08
Aavish,0,3.1598252509776665e-08
Aavya,1,6.003667976857567e-07
Aavyan,0,4.596109455967515e-08
Aavyn,0.45454545454545453,3.1598252509776665e-08
Aaya,1,1.4362842049898484e-07
Aayaan,0,1.2639301003910666e-07
Aayah,1,8.90496207093706e-08
Aayam,0,7.755934706945182e-08
